Polylines2D,Position X,Position Y
634,-679.368058258149,229.790047361663
635,-679.668058258149,230.090047361663
636,-679.668058258149,231.990047361664
637,-683.618058258149,232.290047361664
638,-681.01805825815,232.290047361664
639,-680.71805825815,231.990047361664
640,-680.71805825815,230.090047361663
641,-681.01805825815,229.790047361663
642,-683.618058258149,229.790047361663
643,-683.918058258149,230.090047361663
644,-683.918058258149,231.990047361664
645,-687.868058258149,232.290047361664
646,-685.26805825815,232.290047361664
647,-684.96805825815,231.990047361664
648,-684.96805825815,230.090047361663
649,-685.26805825815,229.790047361663
650,-687.868058258149,229.790047361663
651,-688.168058258149,230.090047361663
652,-688.168058258149,231.990047361664
653,-692.118058258149,232.290047361664
654,-689.51805825815,232.290047361664
655,-689.21805825815,231.990047361664
656,-689.21805825815,230.090047361663
657,-689.51805825815,229.790047361663
658,-692.118058258149,229.790047361663
659,-692.418058258149,230.090047361663
660,-692.418058258149,231.990047361664
661,-696.368058258149,232.290047361664
662,-693.76805825815,232.290047361664
663,-693.46805825815,231.990047361664
664,-693.46805825815,230.090047361663
665,-693.76805825815,229.790047361663
666,-696.368058258149,229.790047361663
667,-696.668058258149,230.090047361663
668,-696.668058258149,231.990047361664
669,-700.618058258149,232.290047361664
670,-698.01805825815,232.290047361664
671,-697.71805825815,231.990047361664
672,-697.71805825815,230.090047361663
673,-698.01805825815,229.790047361663
674,-700.618058258149,229.790047361663
675,-700.918058258149,230.090047361663
676,-700.918058258149,231.990047361664
677,-704.868058258149,232.290047361664
678,-702.26805825815,232.290047361664
679,-701.96805825815,231.990047361664
680,-701.96805825815,230.090047361663
681,-702.26805825815,229.790047361663
682,-704.868058258149,229.790047361663
683,-705.168058258149,230.090047361663
684,-705.168058258149,231.990047361664
685,-709.118058258149,232.290047361664
686,-706.51805825815,232.290047361664
687,-706.21805825815,231.990047361664
688,-706.21805825815,230.090047361663
689,-706.51805825815,229.790047361663
690,-709.118058258149,229.790047361663
691,-709.418058258149,230.090047361663
692,-709.418058258149,231.990047361664
693,-713.368058258149,232.290047361664
694,-710.76805825815,232.290047361664
695,-710.46805825815,231.990047361664
696,-710.46805825815,230.090047361663
697,-710.76805825815,229.790047361663
698,-713.368058258149,229.790047361663
699,-713.668058258149,230.090047361663
700,-713.668058258149,231.990047361664
701,-717.618058258149,232.290047361664
702,-715.01805825815,232.290047361664
703,-714.71805825815,231.990047361664
704,-714.71805825815,230.090047361663
705,-715.01805825815,229.790047361663
706,-717.618058258149,229.790047361663
707,-717.918058258149,230.090047361663
708,-717.918058258149,231.990047361664
709,-721.868058258149,232.290047361664
710,-719.26805825815,232.290047361664
711,-718.96805825815,231.990047361664
712,-718.96805825815,230.090047361663
713,-719.26805825815,229.790047361663
714,-721.868058258149,229.790047361663
715,-722.168058258149,230.090047361663
716,-722.168058258149,231.990047361664
717,-726.118058258149,232.290047361664
718,-723.51805825815,232.290047361664
719,-723.21805825815,231.990047361664
720,-723.21805825815,230.090047361663
721,-723.51805825815,229.790047361663
722,-726.118058258149,229.790047361663
723,-726.418058258149,230.090047361663
724,-726.418058258149,231.990047361664
725,-730.368058258149,232.290047361664
726,-727.76805825815,232.290047361664
727,-727.46805825815,231.990047361664
728,-727.46805825815,230.090047361663
729,-727.76805825815,229.790047361663
730,-730.368058258149,229.790047361663
731,-730.668058258149,230.090047361663
732,-730.668058258149,231.990047361664
733,-734.618058258149,232.290047361664
734,-732.01805825815,232.290047361664
735,-731.71805825815,231.990047361664
736,-731.71805825815,230.090047361663
737,-732.01805825815,229.790047361663
738,-734.618058258149,229.790047361663
739,-734.918058258149,230.090047361663
740,-734.918058258149,231.990047361664
741,-738.868058258149,232.290047361664
742,-736.26805825815,232.290047361664
743,-735.96805825815,231.990047361664
744,-735.96805825815,230.090047361663
745,-736.26805825815,229.790047361663
746,-738.868058258149,229.790047361663
747,-739.168058258149,230.090047361663
748,-739.168058258149,231.990047361664
749,-743.118058258149,232.290047361664
750,-740.51805825815,232.290047361664
751,-740.21805825815,231.990047361664
752,-740.21805825815,230.090047361663
753,-740.51805825815,229.790047361663
754,-743.118058258149,229.790047361663
755,-743.418058258149,230.090047361663
756,-743.418058258149,231.990047361664
757,-747.368058258149,232.290047361664
758,-744.76805825815,232.290047361664
759,-744.46805825815,231.990047361664
760,-744.46805825815,230.090047361663
761,-744.76805825815,229.790047361663
762,-747.368058258149,229.790047361663
763,-747.668058258149,230.090047361663
764,-747.668058258149,231.990047361664
765,-751.618058258149,232.290047361664
766,-749.01805825815,232.290047361664
767,-748.71805825815,231.990047361664
768,-748.71805825815,230.090047361663
769,-749.01805825815,229.790047361663
770,-751.618058258149,229.790047361663
771,-751.918058258149,230.090047361663
772,-751.918058258149,231.990047361664
773,-755.868058258149,232.290047361664
774,-753.26805825815,232.290047361664
775,-752.96805825815,231.990047361664
776,-752.96805825815,230.090047361663
777,-753.26805825815,229.790047361663
778,-755.868058258149,229.790047361663
779,-756.168058258149,230.090047361663
780,-756.168058258149,231.990047361664
781,-760.118058258149,232.290047361664
782,-757.51805825815,232.290047361664
783,-757.21805825815,231.990047361664
784,-757.21805825815,230.090047361663
785,-757.51805825815,229.790047361663
786,-760.118058258149,229.790047361663
787,-760.418058258149,230.090047361663
788,-760.418058258149,231.990047361664
789,-764.368058258149,232.290047361664
790,-761.76805825815,232.290047361664
791,-761.46805825815,231.990047361664
792,-761.46805825815,230.090047361663
793,-761.76805825815,229.790047361663
794,-764.368058258149,229.790047361663
795,-764.668058258149,230.090047361663
796,-764.668058258149,231.990047361664
797,-768.618058258149,232.290047361664
798,-766.01805825815,232.290047361664
799,-765.71805825815,231.990047361664
